Event,Time,Lat,Lon
16-07-2010,15:13,-21,20
01-08-2010,06:54,20,-35
07-08-2010,17:54,14,-37
13-02-2011,17:28,-20,-5
15-02-2011,01:44,-20,12
07-03-2011,13:44,12,-21
21-06-2011,01:21,14,10
02-08-2011,05:58,15,14
03-08-2011,13:17,17,30
06-09-2011,01:35,14,7
27-09-2011,20:44,10,-9
26-11-2011,06:09,11,47
25-12-2011,18:11,-22,26
26-12-2011,11:23,20,1
26-12-2011,02:00,-18,30
19-01-2012,13:43,32,-27
07-03-2012,00:02,18,-31
09-03-2012,03:21,17,-2
10-03-2012,17:15,16,24
05-04-2012,20:49,24,32
03-06-2012,17:48,17,-38
06-06-2012,19:53,-18,5
14-06-2012,12:51,-17,-5
04-07-2012,16:33,12,35
25-09-2012,04:24,9,-20
11-04-2013,06:55,9,-12
17-05-2013,08:57,12,-42
06-10-2013,13:37,-15,12
10-11-2013,05:08,-14,14
18-04-2014,06:44,-23,39
20-12-2014,00:11,-21,24
08-03-2019,03:07,9,3
28-09-2021,05:23,-28,40
09-10-2021,06:20,19,-7
28-10-2021,15:17,-28,1
02-11-2021,01:20,23,-7
14-01-2022,12:17,-35,35
28-03-2022,10:46,16,4
30-03-2022,17:21,13,32
04-04-2022,20:22,-30,-17
25-05-2022,17:22,-19,41
16-07-2022,02:31,37,5
14-10-2022,21:38,-25,36
10-02-2023,02:30,27,24
24-02-2023,19:40,32,19
25-02-2023,18:40,27,37
09-04-2023,17:55,-20,43
17-04-2023,11:28,10,-17
21-04-2023,17:44,-22,13
14-12-2023,16:45,5,49
20-01-2024,08:20,-16,-24
10-02-2024,22:45,-10,13
03-05-2024,02:06,25,-6
28-07-2024,00:52,-10,-14
22-04-2025,06:31,-30,-10
30-05-2025,23:31,14,-10
05-08-2025,15:37,6,4
03-10-2025,04:48,12,11
12-10-2025,13:05,23,11
05-11-2025,22:00,30,-42
09-11-2025,07:00,25,-9
11-11-2025,09:45,24,23
14-11-2025,08:30,22,60
18-01-2026,18:00,-9,-15
